data	hora	confirmados	confirmados_total	recuperados	recuperados_total	obitos	obitos_total	acompanhamento	descartados	ativos	obitos_acaraci	obitos_p_novo	obitos_p_iris	obitos_sede	casos_acaraci	casos_p_novo	casos_p_iris	casos_sede	last_row
2020-04-27		1	1	0	0	0	0			1	0	0	0	0					
2020-04-28		0	1	0	0	0	0			1	0	0	0	0					
2020-04-29		0	1	0	0	0	0			1	0	0	0	0					
2020-04-30		0	1	0	0	0	0			1	0	0	0	0					
2020-05-01		1	2	0	0	0	0			2	0	0	0	0					
2020-05-02		0	2	0	0	0	0			2	0	0	0	0					
2020-05-03		0	2	0	0	0	0			2	0	0	0	0					
2020-05-04		0	2	0	0	0	0			2	0	0	0	0					
2020-05-05		0	2	0	0	0	0			2	0	0	0	0					
2020-05-06		0	2	0	0	0	0			2	0	0	0	0					
2020-05-07		0	2	0	0	0	0			2	0	0	0	0					
2020-05-08		3	5	2	2	0	0			3	0	0	0	0					
2020-05-09		0	5	0	2	0	0			3	0	0	0	0					
2020-05-10		1	6	1	3	0	0			3	0	0	0	0					
2020-05-11		0	6	0	3	0	0			3	0	0	0	0					
2020-05-12		0	6	0	3	0	0			3	0	0	0	0					
2020-05-13		0	6	0	3	0	0			3	0	0	0	0					
2020-05-14		0	6	1	4	0	0			2	0	0	0	0					
2020-05-15		0	6	0	4	0	0			2	0	0	0	0					
2020-05-16		0	6	0	4	0	0			2	0	0	0	0					
2020-05-17		0	6	0	4	0	0			2	0	0	0	0					
2020-05-18		0	6	0	4	0	0			2	0	0	0	0					
2020-05-19		0	6	0	4	0	0			2	0	0	0	0					
2020-05-20		1	7	0	4	0	0			3	0	0	0	0					
2020-05-21		0	7	0	4	0	0			3	0	0	0	0					
2020-05-22		0	7	0	4	0	0			3	0	0	0	0					
2020-05-23		1	8	1	5	0	0			3	0	0	0	0					
2020-05-24		0	8	0	5	0	0			3	0	0	0	0					
2020-05-25		1	9	1	6	0	0			3	0	0	0	0					
2020-05-26		0	9	0	6	0	0			3	0	0	0	0					
2020-05-27		1	10	0	6	0	0			4	0	0	0	0					
2020-05-28		0	10	2	8	0	0			2	0	0	0	0					
2020-05-29		0	10	0	8	0	0			2	0	0	0	0					
2020-05-30		0	10	0	8	0	0			2	0	0	0	0					
2020-05-31		0	10	1	9	0	0			1	0	0	0	0					
2020-06-01		0	10	0	9	0	0			1	0	0	0	0					
2020-06-02		0	10	0	9	0	0			1	0	0	0	0					
2020-06-03		0	10	0	9	0	0			1	0	0	0	0					
2020-06-04		0	10	0	9	0	0			1	0	0	0	0					
2020-06-05		1	11	0	9	0	0			2	0	0	0	0					
2020-06-06		0	11	0	9	0	0			2	0	0	0	0					
2020-06-07		0	11	0	9	0	0			2	0	0	0	0					
2020-06-08		0	11	0	9	0	0			2	0	0	0	0					
2020-06-09		3	14	0	9	0	0			5	0	0	0	0					
2020-06-10		1	15	0	9	0	0			6	0	0	0	0					
2020-06-11		0	15	0	9	1	1			5	0	0	0	1					
2020-06-12		0	15	0	9	0	1			5	0	0	0	0					
2020-06-13		0	15	0	9	0	1			5	0	0	0	0					
2020-06-14		0	15	0	9	0	1			5	0	0	0	0					
2020-06-15		0	15	0	9	0	1			5	0	0	0	0					
2020-06-16		0	15	4	13	0	1			1	0	0	0	0					
2020-06-17		2	17	0	13	0	1			3	0	0	0	0					
2020-06-18		0	17	0	13	0	1			3	0	0	0	0					
2020-06-19		0	17	0	13	0	1			3	0	0	0	0					
2020-06-20		0	17	0	13	0	1			3	0	0	0	0					
2020-06-21		0	17	0	13	0	1			3	0	0	0	0					
2020-06-22		0	17	1	14	0	1			2	0	0	0	0					
2020-06-23		1	18	0	14	0	1			3	0	0	0	0					
2020-06-24		0	18	0	14	0	1			3	0	0	0	0					
2020-06-25		0	18	0	14	0	1			3	0	0	0	0					
2020-06-26		1	19	0	14	0	1			4	0	0	0	0					
2020-06-27		0	19	0	14	0	1			4	0	0	0	0					
2020-06-28		1	20	0	14	0	1			5	0	0	0	0					
2020-06-29		0	20	0	14	0	1			5	0	0	0	0					
2020-06-30		2	22	0	14	0	1			7	0	0	0	0					
2020-07-01		4	26	2	16	0	1			9	0	0	0	0					
2020-07-02		4	30	0	16	0	1			13	0	0	0	0					
2020-07-03		9	39	1	17	0	1			21	0	0	0	0					
2020-07-04		0	39	0	17	0	1			21	0	0	0	0					
2020-07-05		0	39	0	17	0	1			21	0	0	0	0					
2020-07-06		8	47	2	19	0	1			27	0	0	0	0					
2020-07-07		12	59	0	19	0	1			39	0	0	0	0	0	2	1	56	
2020-07-08		14	73	2	21	0	1			51	0	0	0	0	4	0	0	10	
2020-07-09		18	91	7	28	0	1			62	0	0	0	0	1	0	0	17	
2020-07-10		19	110	10	38	0	1			71	0	0	0	0	4	2	2	11	
2020-07-11		10	120	0	38	0	1			81	0	0	0	0	0	0	0	10	
2020-07-12		0	120	0	38	0	1			81	0	0	0	0	0	6	0	3	
2020-07-13		9	129	46	84	0	1			44	0	0	0	0	0	4	0	13	
2020-07-14		17	146	7	91	0	1	301	83	54	0	0	0	1	9	14	3	120	
2020-07-15		22	168	21	112	0	1	372	93	55	0	0	0	1	9	18	3	138	
2020-07-16		27	195	15	127	0	1	298	109	67	0	0	0	1	9	23	3	160	
2020-07-17		23	218	10	137	0	1	285	125	80	0	0	0	1	9	33	3	173	
2020-07-18		25	243	5	142	0	1	239	146	100	0	0	0	1	9	33	3	198	
2020-07-19		4	247	3	145	0	1	233	149	101	0	0	0	1	9	33	3	202	
2020-07-20		22	269	28	173	0	1	235	157	95	0	0	0	1	9	46	3	211	
2020-07-21		8	277	13	186	0	1	247	166	90	0	0	0	1	9	52	3	213	
2020-07-22		20	297	41	227	0	1	256	189	69	0	0	0	1	9	54	3	231	
2020-07-23	19:05	10	307	23	250	0	1	252	191	56	0	0	0	1	9	57	3	238	
2020-07-24	19:51	3	310	30	280	0	1	255	193	29	0	0	0	1	9	57	3	241	
2020-07-25	19:00	0	310	8	288	1	2	255	193	20	0	0	0	2	9	57	3	241	
2020-07-27	19:28	17	327	18	306	1	3	215	216	18	0	1	0	2	14	62	3	248	
2020-07-28	18:15	10	337	0	306	0	3	220	217	28	0	1	0	2	14	65	3	255	
2020-07-29	18:32	7	344	12	318	0	3	233	217	23	0	1	0	2	14	65	3	262	
2020-07-30	19:46	22	366	24	342	1	4	229	220	20	0	1	0	3	14	82	3	267	
2020-07-31	18:41	6	372	4	346	1	5	229	224	21	0	1	0	4	14	85	3	270	
2020-08-01	18:27	2	374	0	346	1	6	226	225	22	0	1	0	5	14	85	3	272	
2020-08-03	19:36	13	387	0	346	0	6	216	228	35	0	1	0	5	14	92	3	278	
2020-08-04	18:57	21	408	18	364	0	6	196	232	38	0	1	0	5	17	93	3	295	
2020-08-05	19:35	8	416	0	364	0	6	197	234	46	0	1	0	5	19	94	3	300	
2020-08-06	21:15	15	431	7	371	0	6	181	239	54	0	1	0	5	20	97	3	311	
2020-08-07	18:55	13	444	14	385	0	6	174	242	53	0	1	0	5	20	103	3	318
2020-08-10	19:07	13	457	18	403	0	6	168	247	48	0	1	0	5	23	104	3	327
2020-08-11	22:13	6	463	7	410	0	6	174	247	47	0	1	0	5	23	104	3	333
2020-08-12	19:35	1	464	7	417	0	6	175	249	41	0	1	0	5	23	104	3	334
2020-08-13	19:32	3	467	10	427	0	6	175	251	34	0	1	0	5	23	104	3	337
2020-08-14	19:33	2	469	4	431	0	6	172	255	32	0	1	0	5	23	104	3	339	
2020-08-17	18:13	6	475	15	446	0	6	172	261	23	0	1	0	5	23	104	3	345
2020-08-18	19:32	5	480	4	450	0	6	173	263	24	0	1	0	5	25	104	3	348
2020-08-19	19:03	3	483	2	452	0	6	172	452	25	0	1	0	5	26	104	3	350
2020-08-20	19:08	5	488	0	452	0	6	167	269	30	0	1	0	5	26	104	3	355
2020-08-21	19:05	2	490	6	458	0	6	158	278	26	0	1	0	5	26	104	3	357
2020-08-24	19:27	1	491	2	460	0	6	166	279	25	0	1	0	7	26	104	3	358
2020-08-25	19:03	2	493	3	463	0	8	161	285	22	0	1	0	7	26	105	3	359
2020-08-26	18:48	2	495	4	467	0	8	146	298	20	0	1	0	7	27	105	3	360
2020-08-27	19:33	0	495	5	472	0	8	142	306	15	0	1	0	7	27	105	3	360
2020-08-28	18:53	0	495	1	473	0	8	139	310	14	0	1	0	7	27	105	3	360
2020-08-31	19:40	1	495	6	479	1	9	129	329	7	0	1	0	8	27	105	3	361
